;Total ranking;L’Année Philologique;Political Science;Sociology;Statistics;Theoretical Computer Science;Applied Computer Science;Art History;Classical Studies;Computational Linguistics;Digital Humanities;History;Information Science;Linguistics;Literary Theory;Mathematics;Musicology;Philosophy
1;Aristoteles;Plato;Aristotle;Aristotle;Ptolemy;Homer;Aesop;Aristotle;Plato;Aristotle;Plinius Maior;Martial;Aristotle;Seneca;Aristotle;Terentius;Virgil;Aristotle
2;Plato;Aristotle;Socrates;Plato;Epicurus;Aesop;Aristotle;Plato;Socrates;Horace;Plato;Aristotle;Plato;Terentius;Plato;Euclid;Aristotle;Socrates
3;Sokrates ;Homer;Plato;Augustus;Galen;Euclid;Euclid;Socrates;Aristotle;Plato;Homer;Augustus;Pseudo Longinus;Aristotle;Homer;Ptolemy;Martial;Plato
4;Cicero;Virgil;Protagoras of Abdera;Terentius;Aristotle;Plato;Augustus;Homer;Cicero;Terentius;Virgil;Cicero;Petronius;Caesar;Virgil;Pythagoras;Plato;Cicero
5;Homer;Augustinus;Martial;Homer;Euclid;Aristotle;Pythagoras;Virgil;Virgil;Augustus;Euripides;Herodotus;Augustus;Homer;Socrates;Petronius;Boethius;Caesar
6;Vergilius;Cicero;Homer;Martial;Homer;Augustus;Ptolemy;Horace;Homer;Socrates;Aristotle;Plinius Maior;Socrates;Plato;Horace;Ennius;Homer;Terentius
7;Horatius;Euripides;Xenophon;Socrates;Gaius;Pythagoras;Caesar;Theophrastos;Horace;Tacitus;Caesar;Plato;Phaedrus;Petronius;Sappho;Archimedes;Quintillian;Pseudo Longinus
8;Caesar;Ovidius;Augustus;Caesar;Thucydides;Demokritos;Varro;Martial;Augustus;Epicurus;Cicero;Caesar;Parmenides;Juvenal;Terentius;Homer;Horace;Epicurus
9;Augustus;Horatius;Horace;Aratos;Plato;Caesar;Martial;Augustus;Plutarch;Cicero;Sophocles;Horace;Plutarch;Pindaros;Sophocles;Aulus Cornelius Celus;Augustus;Parmenides
10;Ploutarchos;Seneca;Lucanus;Marcus Porcius Cato;Augustus;Galen;Socrates;Terentius;Caesar;Aulus Cornelius Celsus;Thucydides;Galen;Cicero;Horace;Seneca;Augustus;Ambrosius;Galen
